Name,private,apps,accept,enroll,full_time,part_time,outstate,room_board,books,personal,prof_phd,prof_terminal,std_by_prof,perc_alumni,grad_rate
Trinity College VT,Yes,222,185,91,484,541,11010,5208,550,500,58,78,10.4,26,78
Trinity University,Yes,2425,1818,601,2110,95,12240,5150,500,490,94,96,9.6,20,93
Tulane University,Yes,7033,5125,1223,4941,1534,19040,5950,350,800,98,98,9.1,21,74
Tusculum College,Yes,626,372,145,983,40,7700,3400,450,800,70,70,21.9,28,52
Tuskegee University,Yes,2267,1827,611,2825,144,6735,3395,600,1425,70,74,12.2,7,65
Union College KY,Yes,484,384,177,634,78,7800,2950,500,600,60,88,14.1,9,64
Union College NY,Yes,3495,1712,528,1915,123,18732,6204,450,1024,94,96,11.5,49,88
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,7764,1472,6874,2394,518,1890,73,78,19.2,14,56
University of Alabama at Birmingham,No,1797,1260,938,6960,4698,4440,5175,750,2200,96,96,6.7,16,33
University of Arkansas at Fayetteville,No,3235,3108,2133,9978,1530,5028,3300,500,2000,73,89,14.8,10,39
University of California at Berkeley,No,19873,8252,3215,19532,2061,11648,6246,636,1933,93,97,15.8,10,78
University of California at Irvine,No,15698,10775,2478,12677,864,12024,5302,790,1818,96,96,16.1,11,66
University of Central Florida,No,6986,2959,1918,12330,7152,6618,4234,700,1600,80,98,22.2,9,46
University of Charleston,Yes,682,535,204,771,611,9500,3540,400,750,26,58,2.5,10,57
University of Chicago,Yes,6348,2999,922,3340,39,18930,6380,500,1254,99,99,5.3,36,90
University of Cincinnati,No,6855,5553,2408,11036,2011,8907,4697,556,1851,89,95,10.8,6,54
University of Connecticut at Storrs,No,9735,7187,2064,12478,1660,11656,5072,700,2300,89,95,16,16,71
University of Dallas,Yes,681,588,246,1058,73,10760,6230,500,1200,85,93,13.4,26,63
University of Dayton,Yes,6361,5293,1507,5889,665,11380,4220,500,900,81,85,14.8,25,93
University of Delaware,Yes,14446,10516,3252,14130,4522,10220,4230,530,1300,82,87,18.3,15,75
University of Denver,Yes,2974,2001,580,2666,554,15192,4695,400,1350,84,91,15.9,21,67
University of Detroit Mercy,Yes,927,731,415,2149,2217,11130,3996,600,2166,72,79,13.5,14,51
University of Dubuque,Yes,576,558,137,662,131,10430,3620,400,1500,85,98,16.5,18,45
University of Evansville,Yes,2096,1626,694,2551,407,11800,4340,700,960,60,81,15.8,26,77
University of Florida,No,12445,8836,3623,24470,3286,7090,4180,630,1530,88,97,13.4,20,66
University of Georgia,No,11220,7871,3320,19553,2748,5697,3600,525,1755,88,95,14.7,22,63
University of Hartford,Yes,5081,4040,1194,3768,1415,14220,6000,500,1440,61,76,10.7,9,66
University of Hawaii at Manoa,No,3580,2603,1627,11028,2411,4460,3038,687,1281,85,87,11.8,6,54
University of Illinois - Urbana,No,14939,11652,5705,25422,911,7560,4574,500,1982,87,90,17.4,13,81
University of Illinois at Chicago,No,8384,5727,2710,13518,2916,7230,5088,630,3228,82,84,10,6,34
University of Indianapolis,Yes,1487,1276,388,1417,1646,11120,4080,525,1405,55,56,11.1,23,69
University of Kansas,No,8579,5561,3681,17880,1673,6994,3384,700,2681,88,94,13.7,17,57
University of La Verne,Yes,1597,969,226,1431,1522,13540,5050,630,2298,66,68,14.1,23,47
University of Louisville,No,4777,3057,1823,9844,6198,6540,3600,530,2440,84,92,11.1,24,31
University of Maine at Farmington,No,1208,803,438,1906,344,6810,3970,450,1647,67,75,15.9,26,59
University of Maine at Machias,No,441,369,172,633,317,6600,3680,600,400,46,46,15.1,4,64
University of Maine at Presque Isle,No,461,381,235,974,503,6600,3630,400,1675,67,67,15.2,11,35
University of Maryland at Baltimore County,No,4269,2594,985,6476,2592,8594,4408,494,2768,82,88,18.4,6,55
University of Maryland at College Park,No,14292,10315,3409,19340,3991,8723,5146,550,1550,89,92,18.1,12,63
University of Massachusetts at Amherst,No,14438,12414,3816,16282,1940,8566,3897,500,1400,88,92,16.7,15,68
University of Massachusetts at Dartmouth,No,3347,2597,1006,4664,1630,6919,4500,500,1250,74,90,15,20,56
University of Miami,Yes,7122,5386,1643,7760,876,16500,6526,630,1985,82,94,5.9,17,59
University of Michigan at Ann Arbor,No,19152,12940,4893,22045,1339,15732,4659,476,1600,90,98,11.5,26,87
University of Minnesota at Duluth,No,4192,3126,1656,5887,1254,8828,3474,753,2610,79,91,19,11,53
University of Minnesota at Morris,No,1458,874,588,1846,154,9843,3180,600,1500,74,78,14.6,16,51
University of Minnesota Twin Cities,No,11054,6397,3524,16502,21836,8949,3744,714,2910,88,90,12.2,37,45
University of Mississippi,No,3844,3383,1669,7524,804,4916,3810,600,550,81,86,20.3,14,53
University of Missouri at Columbia,No,6574,4637,2940,14782,1583,9057,3485,600,1983,87,87,12.7,15,58
University of Missouri at Rolla,No,1877,1826,823,3926,561,9057,3600,700,1435,88,88,14.4,23,49
University of Missouri at Saint Louis,No,1618,1141,479,4793,4552,7246,3964,500,4288,71,73,13.4,15,48
University of Mobile,Yes,452,331,269,1417,301,6150,3680,550,1200,59,63,16.6,4,52
University of Montevallo,No,1351,892,570,2385,331,4440,3030,300,600,72,72,18.9,8,51
University of Nebraska at Lincoln,No,6277,6003,3526,16454,3171,5595,3145,500,2070,86,92,15.1,48,53
University of New England,Yes,1209,750,265,820,159,11450,5045,900,2500,72,75,11.4,13,64
University of New Hampshire,No,9750,7640,2529,10358,1338,11180,3862,650,2450,89,87,17.5,16,75
University of North Carolina at Asheville,No,1757,979,394,2033,1078,5972,3420,600,750,77,83,13,11,37
University of North Carolina at Chapel Hill,No,14596,5985,3331,14609,1100,8400,4200,550,1200,88,93,8.9,23,83
University of North Carolina at Charlotte,No,5803,4441,1730,10099,3255,7248,3109,600,1900,79,91,16.8,7,62
University of North Carolina at Greensboro,No,5191,4134,1500,7532,1847,8677,3505,600,1300,75,94,15.5,17,53
University of North Carolina at Wilmington,No,6071,3856,1449,6635,1145,7558,3680,500,1500,82,85,19.1,15,55
University of North Dakota,No,2777,2249,1652,8334,1435,5634,2703,450,1200,97,97,15.9,16,49
University of North Florida,No,1800,1253,560,3876,3588,6634,4360,600,2604,82,85,17.8,14,47
University of North Texas,No,4418,2737,2049,14047,5134,4104,3579,450,1700,86,94,22.6,6,35
University of Northern Colorado,No,5530,4007,1697,8463,1498,7731,4128,540,2286,75,75,21.5,8,40
University of Northern Iowa,No,4144,3379,1853,10135,1448,6197,2930,595,2380,78,82,16.3,26,77
University of Notre Dame,Yes,7700,3700,1906,7671,30,16850,4400,600,1350,96,92,13.1,46,97
University of Oklahoma,No,4743,3970,2233,13436,2582,5173,3526,765,3176,86,90,11.5,11,44
University of Oregon,No,8631,6732,2546,11669,1605,10602,3660,570,1530,79,87,19.7,13,54
University of Pennsylvania,Yes,12394,5232,2464,9205,531,17020,7270,500,1544,95,96,6.3,38,93
University of Pittsburgh-Main Campus,No,8586,6383,2503,13138,4289,10786,4560,400,900,93,93,7.8,10,66
University of Portland,Yes,1758,1485,419,2041,174,12040,4100,600,1100,92,96,13.2,17,72
University of Puget Sound,Yes,4044,2826,688,2738,138,16230,4500,630,1800,79,86,15,17,63
University of Rhode Island,No,9643,7751,1968,8894,2456,10330,5558,500,1250,84,89,16.6,7,63
University of Richmond,Yes,5892,2718,756,2854,594,14500,3285,700,1125,75,89,11.7,32,100
University of Rochester,Yes,8766,5498,1243,5071,438,17840,6582,500,882,93,99,5.9,23,80
University of San Diego,Yes,3934,2735,886,3698,217,13600,5940,630,1820,93,96,15.6,13,66
University of San Francisco,Yes,2306,1721,538,4309,549,13226,6452,750,2450,86,86,13.6,8,62
University of Sci. and Arts of Oklahoma,No,285,280,208,1140,473,3687,1920,600,1800,67,77,23.6,3,43
University of Scranton,Yes,4471,2942,910,3674,493,11584,5986,650,800,83,83,14.1,41,92
University of South Carolina at Aiken,No,848,560,377,1855,1412,5800,3066,500,1500,62,62,14.8,3,48
University of South Carolina at Columbia,No,7693,5815,2328,12594,3661,8074,3522,495,2941,84,88,16.9,18,63
University of South Florida,No,7589,4676,1876,14770,10962,6760,3776,500,2180,84,89,17,7,47
University of Southern California,Yes,12229,8498,2477,13259,1429,17230,6482,600,2210,90,94,11.4,10,68
University of Southern Colorado,No,1401,1239,605,3716,675,7100,4380,540,2948,63,88,19.4,0,36
University of Southern Indiana,No,2379,2133,1292,4283,2973,4973,3192,500,1425,56,65,22,21,38
University of Southern Mississippi,No,2850,2044,1046,9260,1387,4652,2470,500,500,78,99,18.7,23,45
University of St. Thomas MN,Yes,2057,1807,828,4106,982,11712,4037,500,800,80,80,13.8,13,89
University of St. Thomas TX,Yes,374,280,185,995,408,8550,4050,500,1344,75,75,12.6,17,62
University of Tennessee at Knoxville,No,7473,5372,3013,15749,3237,5764,3262,750,3300,86,92,16.5,22,53
University of Texas at Arlington,No,3281,2559,1448,10975,8431,4422,2780,500,2850,73,73,21,4,29
University of Texas at Austin,No,14752,9572,5329,30017,5189,5130,3309,650,3140,91,99,19.7,11,65
University of Texas at San Antonio,No,4217,3100,1686,9375,5457,4104,5376,452,1200,94,100,25.3,3,50
University of the Arts,Yes,974,704,290,1145,39,12520,3860,1300,700,16,59,7.5,9,57
University of the Pacific,Yes,2459,1997,582,2664,299,16320,5326,646,1171,87,94,11.2,14,65
University of the South,Yes,1445,966,326,1129,24,15350,4080,450,810,89,93,10.3,52,82
University of Tulsa,Yes,1712,1557,696,2936,433,11750,4160,1200,2350,94,96,11.5,10,47
University of Utah,No,5095,4491,2400,13894,8374,6857,3975,858,3093,89,93,12.8,9,37
University of Vermont,No,7663,6008,1735,7353,1674,15516,4928,500,990,87,90,9.9,10,79
University of Virginia,No,15849,5384,2678,11278,114,12212,3792,500,1000,90,92,9.5,22,95
University of Washington,No,12749,7025,3343,20356,4582,8199,4218,708,2172,96,94,9,10,65
University of West Florida,No,1558,1254,472,3754,2477,6172,3994,541,1387,83,87,23.4,12,53
University of Wisconsin-Stout,No,2593,1966,1030,6038,579,6704,2592,376,1750,78,78,21,17,65
University of Wisconsin-Superior,No,910,910,342,1434,417,7032,2780,550,1960,75,81,15.2,15,36
University of Wisconsin-Whitewater,No,4400,3719,1472,7804,1552,6950,2500,300,1200,90,95,23.1,16,67
University of Wisconsin at Green Bay,No,2409,1939,759,3819,1347,6900,2800,475,1200,81,89,22.2,1,46
University of Wisconsin at Madison,No,14901,10932,4631,23945,2200,9096,4290,535,1545,93,96,11.5,20,72
University of Wisconsin at Milwaukee,No,5244,3782,1930,11561,7443,8786,2964,570,1980,79,87,15.9,8,38
University of Wyoming,No,2029,1516,1073,7535,1488,5988,3422,600,1500,91,94,15.1,13,45
Upper Iowa University,Yes,663,452,192,1481,1160,8840,3060,500,1000,69,75,17.4,19,78
Ursinus College,Yes,1399,1026,308,1131,17,14900,5160,500,800,82,85,11.6,40,79
Ursuline College,Yes,325,260,86,699,717,9600,4202,450,750,39,69,10.5,15,68
Valley City State University,No,368,344,212,863,189,4286,2570,600,2000,39,41,14.9,25,40
Valparaiso University,Yes,2075,1727,520,2501,198,11800,3260,500,800,87,89,14.2,23,95
Vanderbilt University,Yes,7791,4690,1499,5500,90,17865,6525,630,952,93,98,5.8,26,83
Vassar College,Yes,3550,1877,653,2164,77,18920,5950,600,800,90,98,9.7,39,90
Villanova University,Yes,7759,5588,1477,6362,1292,15925,6507,400,300,89,90,13.4,24,96
Virginia Commonwealth University,No,4963,3497,1567,10262,5065,10217,4182,500,3630,81,87,8.7,11,45
Virginia State University,No,2996,2440,704,3006,338,5587,4845,500,600,61,63,16,11,31
Virginia Tech,No,15712,11719,4277,18511,604,10260,3176,740,2200,85,89,13.8,20,73
Virginia Union University,Yes,1847,1610,453,1298,67,7384,3494,500,1763,51,67,13.7,8,30
Virginia Wesleyan College,Yes,1470,900,287,1130,417,10900,5100,500,550,70,81,15.7,14,68
Viterbo College,Yes,647,518,271,1014,387,9140,3365,500,2245,51,65,10.7,31,73
Voorhees College,Yes,1465,1006,188,703,20,4450,2522,500,1200,43,43,22.9,3,58
Wabash College,Yes,800,623,256,801,5,12925,4195,500,635,78,85,9.9,55,72
Wagner College,Yes,1416,1015,417,1324,117,13500,5800,585,1700,67,78,13.2,23,75
Wake Forest University,Yes,5661,2392,903,3499,172,13850,4360,500,1250,95,97,4.3,37,89
Walsh University,Yes,1092,890,477,847,497,8670,4180,500,1450,42,58,11.3,33,68
Warren Wilson College,Yes,440,311,112,466,7,10000,3052,400,1100,65,75,11.4,20,63
Wartburg College,Yes,1231,1074,345,1295,105,11600,3610,400,850,66,91,12.4,37,67
Washington and Jefferson College,Yes,1305,1100,334,1098,151,16260,4005,300,500,91,91,12.1,40,86
Washington and Lee University,Yes,3315,1096,425,1584,3,13750,4619,680,1115,81,96,9.6,45,90
Washington College,Yes,1209,942,214,822,46,15276,5318,500,300,79,86,11.2,37,65
Washington State University,No,6540,5839,2440,14445,1344,8200,4210,800,2719,84,87,16.9,30,56
Washington University,Yes,7654,5259,1254,4879,1274,18350,5775,768,1512,91,98,3.9,31,90
Wayne State College,No,1373,1373,724,2754,474,2700,2660,540,1660,60,68,20.3,29,52
Waynesburg College,Yes,1190,978,324,1280,61,8840,3620,500,1200,57,58,16.2,26,63
Webber College,Yes,280,143,79,327,110,5590,2900,650,1952,53,63,15.1,4,90
Webster University,Yes,665,462,226,1739,1550,9160,4340,500,500,68,68,20.6,14,48
Wellesley College,Yes,2895,1249,579,2195,156,18345,5995,500,700,94,98,10.6,51,91
Wells College,Yes,318,240,130,416,19,14900,5550,600,500,93,98,8.3,42,69
Wentworth Institute of Technology,Yes,1480,1257,452,2961,572,9850,6050,850,920,10,68,15.4,8,64
Wesley College,Yes,980,807,350,872,448,9890,4674,500,1350,52,57,14.4,15,84
Wesleyan University,Yes,4772,1973,712,2714,27,19130,5600,1400,1400,90,94,12.1,39,92
West Chester University of Penn.,No,6502,3539,1372,7484,1904,7844,4108,400,2000,76,79,15.3,16,52
West Liberty State College,No,1164,1062,478,2138,227,4470,2890,600,1210,33,33,16.3,10,60
West Virginia Wesleyan College,Yes,1566,1400,483,1509,170,14200,3775,450,1100,58,81,16.4,42,67
Western Carolina University,No,3224,2519,1057,5000,706,6390,2380,110,1622,67,78,14.6,9,55
Western Maryland College,Yes,1205,984,278,1071,98,14510,5340,500,1400,84,91,12.5,39,60
Western Michigan University,No,9167,7191,2738,15739,4278,6940,4100,500,1700,80,84,24.7,11,55
Western New England College,Yes,1650,1471,409,1803,1116,8994,5500,498,2065,74,97,15.4,15,59
Western State College of Colorado,No,2702,1623,604,2315,146,5918,3755,500,2050,76,79,19.4,4,52
Western Washington University,No,5548,3563,1549,8909,506,8124,4144,639,2385,83,89,22.7,10,61
Westfield State College,No,3100,2150,825,3234,941,5542,3788,500,1300,75,79,15.7,20,65
Westminster College MO,Yes,662,553,184,665,37,10720,4050,600,1650,66,70,12.5,20,62
Westminster College,Yes,996,866,377,1411,72,12065,3615,430,685,62,78,12.5,41,80
Westminster College of Salt Lake City,Yes,917,720,213,979,743,8820,4050,600,2025,68,83,10.5,34,50
Westmont College,No,950,713,351,1276,9,14320,5304,490,1410,77,77,14.9,17,87
Wheaton College IL,Yes,1432,920,548,2200,56,11480,4200,530,1400,81,83,12.7,40,85
Westminster College PA,Yes,1738,1373,417,1335,30,18460,5970,700,850,92,96,13.2,41,71
Wheeling Jesuit College,Yes,903,755,213,971,305,10500,4545,600,600,66,71,14.1,27,72
Whitman College,Yes,1861,998,359,1220,46,16670,4900,750,800,80,83,10.5,51,72
Whittier College,Yes,1681,1069,344,1235,30,16249,5699,500,1998,84,92,13.6,29,52
Whitworth College,Yes,1121,926,372,1270,160,12660,4500,678,2424,80,80,16.9,20,80
Widener University,Yes,2139,1492,502,2186,2171,12350,5370,500,1350,88,86,12.6,19,63
Wilkes University,Yes,1631,1431,434,1803,603,11150,5130,550,1260,78,92,13.3,24,67
Willamette University,Yes,1658,1327,395,1595,159,14800,4620,400,790,91,94,13.3,37,68
William Jewell College,Yes,663,547,315,1279,75,10060,2970,500,2600,74,80,11.2,19,59
William Woods University,Yes,469,435,227,851,120,10535,4365,550,3700,39,66,12.9,16,52
Williams College,Yes,4186,1245,526,1988,29,19629,5790,500,1200,94,99,9,64,99
Wilson College,Yes,167,130,46,199,676,11428,5084,450,475,67,76,8.3,43,67
Wingate College,Yes,1239,1017,383,1207,157,7820,3400,550,1550,69,81,13.9,8,91
Winona State University,No,3325,2047,1301,5800,872,4200,2700,300,1200,53,60,20.2,18,58
Winthrop University,No,2320,1805,769,3395,670,6400,3392,580,2150,71,80,12.8,26,59
Wisconsin Lutheran College,Yes,152,128,75,282,22,9100,3700,500,1400,48,48,8.5,26,50
Wittenberg University,Yes,1979,1739,575,1980,144,15948,4404,400,800,82,95,12.8,29,78
Wofford College,Yes,1501,935,273,1059,34,12680,4150,605,1440,91,92,15.3,42,75
Worcester Polytechnic Institute,Yes,2768,2314,682,2802,86,15884,5370,530,730,92,94,15.2,34,82
Worcester State College,No,2197,1515,543,3089,2029,6797,3900,500,1200,60,60,21,14,40
Xavier University,Yes,1959,1805,695,2849,1107,11520,4960,600,1250,73,75,13.3,31,83
Xavier University of Louisiana,Yes,2097,1915,695,2793,166,6900,4200,617,781,67,75,14.4,20,49
Yale University,Yes,10705,2453,1317,5217,83,19840,6510,630,2115,96,96,5.8,49,99
York College of Pennsylvania,Yes,2989,1855,691,2988,1726,4990,3560,500,1250,75,75,18.1,28,99
